Source,Target,Type,Id,Label,timeset,Weight
http://www.wikidata.org/entity/Q21505656,http://www.wikidata.org/entity/Q4105706,Undirected,32331,,,8
http://www.wikidata.org/entity/Q21505727,http://www.wikidata.org/entity/Q21506184,Undirected,32332,,,2
http://www.wikidata.org/entity/Q21505765,http://www.wikidata.org/entity/Q4347893,Undirected,32333,,,2
http://www.wikidata.org/entity/Q21505765,http://www.wikidata.org/entity/Q6124434,Undirected,32334,,,22
http://www.wikidata.org/entity/Q21505803,http://www.wikidata.org/entity/Q2833235,Undirected,32335,,,4
http://www.wikidata.org/entity/Q21505875,http://www.wikidata.org/entity/Q21520138,Undirected,32336,,,26
http://www.wikidata.org/entity/Q21505875,http://www.wikidata.org/entity/Q97961988,Undirected,32337,,,2
http://www.wikidata.org/entity/Q21505903,http://www.wikidata.org/entity/Q6067147,Undirected,32338,,,18
http://www.wikidata.org/entity/Q21505975,http://www.wikidata.org/entity/Q56175,Undirected,32339,,,2
http://www.wikidata.org/entity/Q21505975,http://www.wikidata.org/entity/Q86493,Undirected,32340,,,4
http://www.wikidata.org/entity/Q21506041,http://www.wikidata.org/entity/Q87538,Undirected,32341,,,4
http://www.wikidata.org/entity/Q21506041,http://www.wikidata.org/entity/Q90276,Undirected,32342,,,2
http://www.wikidata.org/entity/Q21506043,http://www.wikidata.org/entity/Q4224039,Undirected,32343,,,20
http://www.wikidata.org/entity/Q21506043,http://www.wikidata.org/entity/Q5893077,Undirected,32344,,,4
http://www.wikidata.org/entity/Q21506043,http://www.wikidata.org/entity/Q86842821,Undirected,32345,,,4
http://www.wikidata.org/entity/Q21506043,http://www.wikidata.org/entity/Q86855070,Undirected,32346,,,2
http://www.wikidata.org/entity/Q21506131,http://www.wikidata.org/entity/Q21607397,Undirected,32347,,,2
http://www.wikidata.org/entity/Q21506147,http://www.wikidata.org/entity/Q2656885,Undirected,32348,,,2
http://www.wikidata.org/entity/Q21506210,http://www.wikidata.org/entity/Q2616180,Undirected,32349,,,2
http://www.wikidata.org/entity/Q21506210,http://www.wikidata.org/entity/Q48357435,Undirected,32350,,,2
http://www.wikidata.org/entity/Q21506210,http://www.wikidata.org/entity/Q5954838,Undirected,32351,,,2
http://www.wikidata.org/entity/Q21506270,http://www.wikidata.org/entity/Q3302587,Undirected,32352,,,42
http://www.wikidata.org/entity/Q21506304,http://www.wikidata.org/entity/Q6109485,Undirected,32353,,,2
http://www.wikidata.org/entity/Q21506318,http://www.wikidata.org/entity/Q4107205,Undirected,32354,,,6
http://www.wikidata.org/entity/Q21506318,http://www.wikidata.org/entity/Q4894231,Undirected,32355,,,12
http://www.wikidata.org/entity/Q21506402,http://www.wikidata.org/entity/Q933820,Undirected,32356,,,2
http://www.wikidata.org/entity/Q21506402,http://www.wikidata.org/entity/Q942078,Undirected,32357,,,146
http://www.wikidata.org/entity/Q21506403,http://www.wikidata.org/entity/Q5873427,Undirected,32358,,,4
