"","person_id_1","person_id_2","records"
"1479","http://www.wikidata.org/entity/Q18983001","http://www.wikidata.org/entity/Q21339335",36
"1480","http://www.wikidata.org/entity/Q18983001","http://www.wikidata.org/entity/Q3565925",2
"1481","http://www.wikidata.org/entity/Q18983548","http://www.wikidata.org/entity/Q21392177",734
"1482","http://www.wikidata.org/entity/Q18983548","http://www.wikidata.org/entity/Q4795296",2
"1483","http://www.wikidata.org/entity/Q18983548","http://www.wikidata.org/entity/Q5294994",14
"1484","http://www.wikidata.org/entity/Q18983548","http://www.wikidata.org/entity/Q5733652",14
"1485","http://www.wikidata.org/entity/Q18983548","http://www.wikidata.org/entity/Q6231874",2
"1486","http://www.wikidata.org/entity/Q18983548","http://www.wikidata.org/entity/Q930525",2
"1487","http://www.wikidata.org/entity/Q18983548","http://www.wikidata.org/entity/Q99074820",48
"1488","http://www.wikidata.org/entity/Q18983548","http://www.wikidata.org/entity/Q99372777",2
"1489","http://www.wikidata.org/entity/Q18983923","http://www.wikidata.org/entity/Q21509016",2
"1490","http://www.wikidata.org/entity/Q18983923","http://www.wikidata.org/entity/Q95988836",2
"1491","http://www.wikidata.org/entity/Q18984194","http://www.wikidata.org/entity/Q78951",2
"1492","http://www.wikidata.org/entity/Q18984399","http://www.wikidata.org/entity/Q21516477",6
"1493","http://www.wikidata.org/entity/Q18984399","http://www.wikidata.org/entity/Q3090721",62
"1494","http://www.wikidata.org/entity/Q18984399","http://www.wikidata.org/entity/Q4194128",4
"1495","http://www.wikidata.org/entity/Q18984399","http://www.wikidata.org/entity/Q5982398",10
"1496","http://www.wikidata.org/entity/Q18984399","http://www.wikidata.org/entity/Q90876959",10
"1497","http://www.wikidata.org/entity/Q18984399","http://www.wikidata.org/entity/Q95988836",2
"1498","http://www.wikidata.org/entity/Q18985277","http://www.wikidata.org/entity/Q5696973",34
"1499","http://www.wikidata.org/entity/Q18985285","http://www.wikidata.org/entity/Q9011458",2
"1500","http://www.wikidata.org/entity/Q18985878","http://www.wikidata.org/entity/Q21509194",2
"1501","http://www.wikidata.org/entity/Q18986547","http://www.wikidata.org/entity/Q5651172",2
"1502","http://www.wikidata.org/entity/Q18986816","http://www.wikidata.org/entity/Q21608819",4
"1503","http://www.wikidata.org/entity/Q19001615","http://www.wikidata.org/entity/Q2688176",4
"1504","http://www.wikidata.org/entity/Q19001615","http://www.wikidata.org/entity/Q34430",2
"1505","http://www.wikidata.org/entity/Q19001615","http://www.wikidata.org/entity/Q3776531",2
"1506","http://www.wikidata.org/entity/Q19001615","http://www.wikidata.org/entity/Q6491480",2
"1507","http://www.wikidata.org/entity/Q19001615","http://www.wikidata.org/entity/Q68637",6
"1508","http://www.wikidata.org/entity/Q19002152","http://www.wikidata.org/entity/Q21388696",10
"1509","http://www.wikidata.org/entity/Q19002242","http://www.wikidata.org/entity/Q21513582",2
"1510","http://www.wikidata.org/entity/Q19002242","http://www.wikidata.org/entity/Q21521868",2
"1511","http://www.wikidata.org/entity/Q19002242","http://www.wikidata.org/entity/Q21609041",2
